Veterinarian *Historic*,13,Animal Services
PET SHOP,13,Animal Services
Pet Store,13,Animal Services
Animal Services Animal Daycare,6,Animal Services
Animal Services Animal Walking,6,Animal Services
Animal Services Animal Control,6,Animal Services
Animal Services Other,6,Animal Services
Animal Services Animal Washing,6,Animal Services
Animal Services Animal Training,6,Animal Services
Animal Services Animal Grooming,6,Animal Services
Animal Services Kennel,6,Animal Services
Animal Services Animal Sitting,6,Animal Services
Animal Services Animal Transportation,6,Animal Services
Animal Clinic/Hospital,6,Animal Services
Animal Services Veterinarian,6,Animal Services
Duplex Strata,13,Apartment
SECOND HAND SALVAGE YARD,13,Apartment
Office Interior Design/Decorator,13,Apartment
Duplex,13,Apartment
Pre-1956 Dwelling One Family,26,Apartment
Property Management *Historic*,9,Apartment
Office Real Estate Development/Investment,9,Apartment
Lumber Yard,9,Apartment
Arcade,9,Apartment
Non-profit Housing,13,Apartment
Roofer Other,13,Apartment
SWIMMING POOL,13,Apartment
Residential/Commercial,13,Apartment
Apartment House,21,Apartment
PUBLIC GARAGE,21,Apartment
Apartment House Strata,21,Apartment
Apartment House Retirement Residence,21,Apartment
BATH HOUSE,21,Apartment
PUBLIC HALL,21,Apartment
Apartment House-99 Year Lease,21,Apartment
BOWLING HOUSE,21,Apartment
Public House *Historic*,21,Apartment
Rooming House,21,Apartment
Office Notary Public,21,Apartment
Multiple Dwelling,26,Apartment
Pre-1956 Dwelling Multiple,26,Apartment
Pre-1956 Dwelling Duplex,26,Apartment
One-Family Dwelling,26,Apartment
Studio Portrait/Photography Studio,0,Art Industry
Artist Live/Work Studio,0,Art Industry
Studio Performing Arts Studio,0,Art Industry
Studio,0,Art Industry
Studio Other,0,Art Industry
Artist Live/Work Studio Other,0,Art Industry
Studio Art Gallery,0,Art Industry
Studio Artist Studio,0,Art Industry
Studio Recording Studio,0,Art Industry
Office Graphic Artist,13,Art Industry
Production Company Video Production,13,Art Industry
Artist,13,Art Industry
Artist Graphics,13,Art Industry
Artist Cartoon/Animation,13,Art Industry
Electrical-Temporary (Filming) Administration,13,Art Industry
Electrical-Temporary (Filming) Other,13,Art Industry
Electrical-Temporary (Filming),13,Art Industry
Electrical-Temporary (Filming) Music Production,13,Art Industry
Production Company Music Production,13,Art Industry
Artist Live/Work Studio Interpreter/Translator,9,Art Industry
Auctioneer,9,Art Industry
AUTO SERVICE STATION,1,Auto Industry
Auto Wholesaler,1,Auto Industry
Auto Parking Lot/Parkade,1,Auto Industry
Auto Dealer Other,1,Auto Industry
Auto Painter & Body Shop,1,Auto Industry
Auto Detailing,1,Auto Industry
Transient Trader/Peddler-W Other,1,Auto Industry
Auto Wrecker,1,Auto Industry
Auto Repairs,1,Auto Industry
Transient Trader/Peddler-A,1,Auto Industry
Transient Trader/Peddler-W,1,Auto Industry
TRANSIENT TRADER,1,Auto Industry
Auto Washer,1,Auto Industry
Auto Dealer,1,Auto Industry
Peddler,1,Auto Industry
MOTORIZED REFRESHMENT VEHICLE OWNER,9,Auto Industry
Gasoline Station Full-Serve Station,9,Auto Industry
LIMOUSINE OWNER,9,Auto Industry
MOTOR VEHICLE RACING,9,Auto Industry
HORSE DRAWN VEHICLE OWNER,9,Auto Industry
Gasoline Station Card Lock Station,9,Auto Industry
Gasoline Station Marine Station,9,Auto Industry
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,9,Auto Industry
TOW TRUCK OWNER,9,Auto Industry
Gasoline Station Self-Serve Station,9,Auto Industry
DRIVE-SELF RENTAL OWNER,9,Auto Industry
Gasoline Station Split-Island Station,9,Auto Industry
HAWKER/PEDLAR WITH MOTOR VEHICLE,9,Auto Industry
TAXICAB BROKER,13,Auto Industry
PRIVATE TRANSPORTATION COMPANY,13,Auto Industry
Lounge 'A' *Historic* Motor Vessel,13,Auto Industry
Marine Services Stevedore,13,Auto Industry
Boat Charter Services,13,Auto Industry
Office Ship's Chandler,13,Auto Industry
Marine Services Marine Towing,13,Auto Industry
Marine Services Marine Transport,13,Auto Industry
LIMOUSINE SERVICE COMPANY,13,Auto Industry
Marine Services Marine Maintenance,13,Auto Industry
