Vancouver,Toronto,Match
ADULT ENTERTAINMENT CLUB,Adult Entertainment Store,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Children's Entertainment,No
ADULT ENTERTAINMENT CLUB,Entertainment Services 1-900 Service,No
ADULT ENTERTAINMENT CLUB,Theatre Adult,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Other,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Centre,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Football Handicaps *Historic*,No
ADULT ENTERTAINMENT CLUB,Club,Yes
ADULT ENTERTAINMENT CLUB,Club Lounge *Historic*,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Event Coordinator,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Face Painting,No
ADULT ENTERTAINMENT CLUB,Lounge 'A' *Historic* Social Club/Recreation,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Radio Station,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Producer,Yes
ADULT ENTERTAINMENT CLUB,Club Manager *Historic*,No
ADULT ENTERTAINMENT CLUB,Entertainment Services TV Station,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Aquarium,No
ADULT ENTERTAINMENT CLUB,Retail Dealer Adult Video Rental,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Recording/Duplication,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Song Writer,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Dance/Event Promoter,No
ADULT ENTERTAINMENT CLUB,Specialized Services Retail - Compassion Club,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Cartoon/Animation,No
ADULT ENTERTAINMENT CLUB,Rentals Adult Video Rental,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Actor/Stunt Person,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Laser Tag,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Composer,No
ADULT ENTERTAINMENT CLUB,Homecraft,No
ADULT ENTERTAINMENT CLUB,Homecraft Other,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Curling Rink,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Hypnotist,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Press/Media/Reporter,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Writer/Editor,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Disc Jockey,Yes
ADULT ENTERTAINMENT CLUB,Homecraft Candlemaking *Historic*,No
ADULT ENTERTAINMENT CLUB,Liquor Establishment Extended Class 7 (Private Club),No
ADULT ENTERTAINMENT CLUB,Liquor Establishment Standard Class 7 (Private Club),No
ADULT ENTERTAINMENT CLUB,Family Sports & Entertain Ctr,No
ADULT ENTERTAINMENT CLUB,Business Services,No
ADULT ENTERTAINMENT CLUB,School (Private) Business School,No
ADVERTISING,Office Advertising Agent,Yes
ADVERTISING,Vending Machines Advertising Agent,No
ADVERTISING,Business Services,No
AUCTIONEER,Auctioneer,Yes
AUTO SERVICE STATION,Gasoline Station Marine Station,Yes
AUTO SERVICE STATION,Auto Detailing,Yes
AUTO SERVICE STATION,Auto Wholesaler,No
AUTO SERVICE STATION,Auto Repairs,Yes
AUTO SERVICE STATION,Auto Dealer,No
AUTO SERVICE STATION,Auto Dealer Other,No
AUTO SERVICE STATION,Auto Washer,Yes
AUTO SERVICE STATION,Auto Wrecker,Yes
AUTO SERVICE STATION,Gasoline Station Full-Serve Station,Yes
AUTO SERVICE STATION,Gasoline Station Self-Serve Station,Yes
AUTO SERVICE STATION,Gasoline Station Card Lock Station,Yes
AUTO SERVICE STATION,Gasoline Station Split-Island Station,Yes
AUTO SERVICE STATION,Gas Station - Marine *Historic*,Yes
AUTO SERVICE STATION,Entertainment Services Radio Station,No
AUTO SERVICE STATION,Conventional Gas Station *Historic*,Yes
AUTO SERVICE STATION,Entertainment Services TV Station,No
AUTO SERVICE STATION,Gas Station - Propane *Historic*,No
AUTO SERVICE STATION,Self-serve Station *Historic*,No
AUTO SERVICE STATION,Card Lock Station *Historic*,No
AUTO SERVICE STATION,Split-island Station *Historic*,No
AUTO SERVICE STATION,Auto Painter & Body Shop,Yes
AUTO SERVICE STATION,Auto Parking Lot/Parkade,No
BATH HOUSE,Steam Bath,Yes
BATH HOUSE,Apartment House,No
BATH HOUSE,Public House *Historic*,No
BATH HOUSE,Rooming House,No
BATH HOUSE,Apartment House Strata,No
BATH HOUSE,Apartment House-99 Year Lease,No
